"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 02 13:49:01 GMT 2022","Sat Jul 02 13:49:02 GMT 2022","753","Отправляем сетевые запросы","","","","","Обновить существующую задачу, 200",""
"passed","Sat Jul 02 13:48:59 GMT 2022","Sat Jul 02 13:49:00 GMT 2022","380","Отправляем сетевые запросы","","","","","Получить заголовки ендпоинта /todos, 200",""
"passed","Sat Jul 02 13:49:02 GMT 2022","Sat Jul 02 13:49:02 GMT 2022","0","Это демо сьют","","","","","Калькулятор",""
"passed","Sat Jul 02 13:48:59 GMT 2022","Sat Jul 02 13:48:59 GMT 2022","370","Отправляем сетевые запросы","","","","","Попытатьcя получить задачу по несуществующему id, 404",""
"passed","Sat Jul 02 13:49:02 GMT 2022","Sat Jul 02 13:49:02 GMT 2022","403","Send request","","","","","Получить список доступных книг get /booking 200",""
"passed","Sat Jul 02 13:48:57 GMT 2022","Sat Jul 02 13:48:57 GMT 2022","795","Отправляем сетевые запросы","","","","","Получить список заданий, 200",""
"passed","Sat Jul 02 13:48:58 GMT 2022","Sat Jul 02 13:48:58 GMT 2022","370","Отправляем сетевые запросы","","","","","Вызвать несуществующий эндпоинт, 404",""
"passed","Sat Jul 02 13:49:00 GMT 2022","Sat Jul 02 13:49:00 GMT 2022","385","Отправляем сетевые запросы","","","","","Отфильтровать список задач по статусу, 200",""
"passed","Sat Jul 02 13:49:00 GMT 2022","Sat Jul 02 13:49:00 GMT 2022","371","Отправляем сетевые запросы","","","","","Создать задачу, 201",""
"passed","Sat Jul 02 13:49:00 GMT 2022","Sat Jul 02 13:49:01 GMT 2022","379","Отправляем сетевые запросы","","","","","Попытаться создать задачу с невалидным статусом, 400",""
"passed","Sat Jul 02 13:48:58 GMT 2022","Sat Jul 02 13:48:59 GMT 2022","760","Отправляем сетевые запросы","","","","","Получить задачу по id, 200",""
"passed","Sat Jul 02 13:48:57 GMT 2022","Sat Jul 02 13:48:58 GMT 2022","424","Отправляем сетевые запросы","","","","","Получить список задач, 200",""
"passed","Sat Jul 02 13:49:02 GMT 2022","Sat Jul 02 13:49:02 GMT 2022","320","Send request","","","","","Создать новую книгу post /booking 200",""
