"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 02 13:14:47 GMT 2022","Sat Jul 02 13:14:47 GMT 2022","770","Отправляем сетевые запросы","","","","","Получить список заданий, 200",""
"passed","Sat Jul 02 13:14:49 GMT 2022","Sat Jul 02 13:14:49 GMT 2022","368","Отправляем сетевые запросы","","","","","Попытатьcя получить задачу по несуществующему id, 404",""
"passed","Sat Jul 02 13:14:52 GMT 2022","Sat Jul 02 13:14:52 GMT 2022","0","Это демо сьют","","","","","Калькулятор",""
"failed","Sat Jul 02 13:14:48 GMT 2022","Sat Jul 02 13:14:49 GMT 2022","750","Отправляем сетевые запросы","","","","","Получить задачу по id, 200",""
"passed","Sat Jul 02 13:14:50 GMT 2022","Sat Jul 02 13:14:50 GMT 2022","421","Отправляем сетевые запросы","","","","","Отфильтровать список задач по статусу, 200",""
"passed","Sat Jul 02 13:14:52 GMT 2022","Sat Jul 02 13:14:52 GMT 2022","411","Send request","","","","","Получить список доступных книг get /booking 200",""
"passed","Sat Jul 02 13:14:52 GMT 2022","Sat Jul 02 13:14:52 GMT 2022","325","Send request","","","","","Создать новую книгу post /booking 200",""
"failed","Sat Jul 02 13:14:50 GMT 2022","Sat Jul 02 13:14:50 GMT 2022","370","Отправляем сетевые запросы","","","","","Создать задачу, 201",""
"passed","Sat Jul 02 13:14:48 GMT 2022","Sat Jul 02 13:14:48 GMT 2022","372","Отправляем сетевые запросы","","","","","Вызвать несуществующий эндпоинт, 404",""
"failed","Sat Jul 02 13:14:51 GMT 2022","Sat Jul 02 13:14:52 GMT 2022","710","Отправляем сетевые запросы","","","","","Обновить существующую задачу, 200",""
"passed","Sat Jul 02 13:14:50 GMT 2022","Sat Jul 02 13:14:51 GMT 2022","375","Отправляем сетевые запросы","","","","","Попытаться создать задачу с невалидным статусом, 400",""
"passed","Sat Jul 02 13:14:49 GMT 2022","Sat Jul 02 13:14:50 GMT 2022","368","Отправляем сетевые запросы","","","","","Получить заголовки ендпоинта /todos, 200",""
"passed","Sat Jul 02 13:14:47 GMT 2022","Sat Jul 02 13:14:48 GMT 2022","428","Отправляем сетевые запросы","","","","","Получить список задач, 200",""
