"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 06 11:46:57 GMT 2022","Sat Aug 06 11:46:57 GMT 2022","183","Отправляем сетевые запросы","","","","","Отфильтровать список задач по статусу, 200",""
"passed","Sat Aug 06 11:46:56 GMT 2022","Sat Aug 06 11:46:56 GMT 2022","218","Отправляем сетевые запросы","","","","","Попытатьcя получить задачу по несуществующему id, 404",""
"passed","Sat Aug 06 11:46:55 GMT 2022","Sat Aug 06 11:46:56 GMT 2022","229","Отправляем сетевые запросы","","","","","Вызвать несуществующий эндпоинт, 404",""
"passed","Sat Aug 06 11:46:58 GMT 2022","Sat Aug 06 11:46:58 GMT 2022","0","Это демо сьют","","","","","Калькулятор",""
"passed","Sat Aug 06 11:46:56 GMT 2022","Sat Aug 06 11:46:56 GMT 2022","418","Отправляем сетевые запросы","","","","","Получить задачу по id, 200",""
"passed","Sat Aug 06 11:46:57 GMT 2022","Sat Aug 06 11:46:58 GMT 2022","461","Отправляем сетевые запросы","","","","","Обновить существующую задачу, 200",""
"passed","Sat Aug 06 11:46:55 GMT 2022","Sat Aug 06 11:46:55 GMT 2022","314","Отправляем сетевые запросы","","","","","Получить список задач, 200",""
"passed","Sat Aug 06 11:46:57 GMT 2022","Sat Aug 06 11:46:57 GMT 2022","233","Отправляем сетевые запросы","","","","","Попытаться создать задачу с невалидным статусом, 400",""
"passed","Sat Aug 06 11:46:56 GMT 2022","Sat Aug 06 11:46:57 GMT 2022","235","Отправляем сетевые запросы","","","","","Создать задачу, 201",""
"passed","Sat Aug 06 11:46:56 GMT 2022","Sat Aug 06 11:46:56 GMT 2022","220","Отправляем сетевые запросы","","","","","Получить заголовки ендпоинта /todos, 200",""
"passed","Sat Aug 06 11:46:58 GMT 2022","Sat Aug 06 11:46:58 GMT 2022","189","Send request","","","","","Создать новую книгу post /booking 200",""
"passed","Sat Aug 06 11:46:55 GMT 2022","Sat Aug 06 11:46:55 GMT 2022","508","Отправляем сетевые запросы","","","","","Получить список заданий, 200",""
"passed","Sat Aug 06 11:46:58 GMT 2022","Sat Aug 06 11:46:58 GMT 2022","214","Send request","","","","","Получить список доступных книг get /booking 200",""
