"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 02 13:20:49 GMT 2022","Sat Jul 02 13:20:50 GMT 2022","205","Отправляем сетевые запросы","","","","","Получить список заданий, 200",""
"passed","Sat Jul 02 13:20:51 GMT 2022","Sat Jul 02 13:20:51 GMT 2022","0","Это демо сьют","","","","","Калькулятор",""
"passed","Sat Jul 02 13:20:50 GMT 2022","Sat Jul 02 13:20:50 GMT 2022","93","Отправляем сетевые запросы","","","","","Попытаться создать задачу с невалидным статусом, 400",""
"passed","Sat Jul 02 13:20:50 GMT 2022","Sat Jul 02 13:20:50 GMT 2022","117","Отправляем сетевые запросы","","","","","Вызвать несуществующий эндпоинт, 404",""
"passed","Sat Jul 02 13:20:50 GMT 2022","Sat Jul 02 13:20:50 GMT 2022","162","Отправляем сетевые запросы","","","","","Получить список задач, 200",""
"failed","Sat Jul 02 13:20:50 GMT 2022","Sat Jul 02 13:20:50 GMT 2022","142","Отправляем сетевые запросы","","","","","Создать задачу, 201",""
"passed","Sat Jul 02 13:20:51 GMT 2022","Sat Jul 02 13:20:51 GMT 2022","64","Send request","","","","","Получить список доступных книг get /booking 200",""
"passed","Sat Jul 02 13:20:50 GMT 2022","Sat Jul 02 13:20:50 GMT 2022","87","Отправляем сетевые запросы","","","","","Получить заголовки ендпоинта /todos, 200",""
"passed","Sat Jul 02 13:20:50 GMT 2022","Sat Jul 02 13:20:50 GMT 2022","92","Отправляем сетевые запросы","","","","","Попытатьcя получить задачу по несуществующему id, 404",""
"passed","Sat Jul 02 13:20:51 GMT 2022","Sat Jul 02 13:20:51 GMT 2022","43","Send request","","","","","Создать новую книгу post /booking 200",""
"failed","Sat Jul 02 13:20:50 GMT 2022","Sat Jul 02 13:20:51 GMT 2022","121","Отправляем сетевые запросы","","","","","Обновить существующую задачу, 200",""
"passed","Sat Jul 02 13:20:50 GMT 2022","Sat Jul 02 13:20:50 GMT 2022","94","Отправляем сетевые запросы","","","","","Отфильтровать список задач по статусу, 200",""
"failed","Sat Jul 02 13:20:50 GMT 2022","Sat Jul 02 13:20:50 GMT 2022","178","Отправляем сетевые запросы","","","","","Получить задачу по id, 200",""
